time_s,period_us
2.880000000000002,98156
2.900000000000002,114483
2.920000000000002,113835
2.940000000000002,110487
2.960000000000002,100431
2.980000000000002,101864
3.000000000000002,103550
3.0200000000000022,105725
3.0400000000000023,98355
3.0600000000000023,103579
3.0800000000000023,99630
3.1000000000000023,111506
3.1200000000000023,111539
3.1400000000000023,99983
3.1600000000000024,101022
3.1800000000000024,98321
3.2000000000000024,97812
3.2200000000000024,101700
3.2400000000000024,114678
3.2600000000000025,97538
3.2800000000000025,98679
3.3000000000000025,101640
3.3200000000000025,97692
3.3400000000000025,88590
3.3600000000000025,97708
3.3800000000000026,103123
3.4000000000000026,105263
3.4200000000000026,101829
3.4400000000000026,99030
3.4600000000000026,98231
3.4800000000000026,96541
3.5000000000000027,109172
3.5200000000000027,99911
3.5400000000000027,93295
3.5600000000000027,104202
3.5800000000000027,92273
3.6000000000000028,108095
3.6200000000000028,99014
3.640000000000003,92274
3.660000000000003,101849
3.680000000000003,96046
3.700000000000003,94618
3.720000000000003,108595
3.740000000000003,96198
3.760000000000003,97177
3.780000000000003,99490
3.800000000000003,103954
3.820000000000003,102443
3.840000000000003,96646
3.860000000000003,90809
3.880000000000003,98305
3.900000000000003,99857
3.920000000000003,99216
3.940000000000003,96185
3.960000000000003,88031
3.980000000000003,88851
4.000000000000003,92337
4.020000000000002,98693
4.040000000000002,95696
4.060000000000001,94112
4.080000000000001,89256
4.1000000000000005,97530
4.12,92733
4.14,98971
4.159999999999999,97223
4.179999999999999,90248
4.199999999999998,99408
4.219999999999998,94198
4.2399999999999975,101485
4.259999999999997,88792
4.279999999999997,97021
4.299999999999996,100217
4.319999999999996,113895
4.339999999999995,100407
4.359999999999995,92005
4.379999999999995,106493
4.399999999999994,93187
4.419999999999994,104549
4.439999999999993,99721
4.459999999999993,103702
4.479999999999992,99366
4.499999999999992,101346
4.519999999999992,101085
4.539999999999991,96096
4.559999999999991,101552
4.57999999999999,102979
4.59999999999999,104673
4.6199999999999894,93561
4.639999999999989,100082
4.659999999999989,103386
4.679999999999988,103207
4.699999999999988,102892
4.719999999999987,99349
4.739999999999987,103473
4.7599999999999865,105157
4.779999999999986,97781
4.799999999999986,103608
4.819999999999985,101369
4.839999999999985,90384
4.859999999999984,91044
4.879999999999984,93641
4.8999999999999835,98280
4.919999999999983,102107
4.939999999999983,86986
4.959999999999982,84203
4.979999999999982,102195
4.999999999999981,107212
5.019999999999981,91732
5.0399999999999805,98441
5.05999999999998,97460
5.07999999999998,96008
5.099999999999979,94235
5.119999999999979,101364
5.139999999999978,94765
5.159999999999978,94977
5.1799999999999775,93113
5.199999999999977,89050
5.219999999999977,100782
5.239999999999976,102642
5.259999999999976,89387
5.279999999999975,87381
5.299999999999975,96742
5.3199999999999745,95558
5.339999999999974,102310
5.359999999999974,95682
5.379999999999973,97787
5.399999999999973,105197
5.419999999999972,83151
5.439999999999972,94322
5.4599999999999715,93084
5.479999999999971,88230
5.499999999999971,101738
5.51999999999997,104696
5.53999999999997,96710
5.559999999999969,96493
5.579999999999969,93979
5.599999999999969,95848
5.619999999999968,99877
5.639999999999968,96596
5.659999999999967,93822
5.679999999999967,93941
5.699999999999966,84681
5.719999999999966,95679
5.739999999999966,92029
5.759999999999965,100449
5.779999999999965,93099
5.799999999999964,96029
5.819999999999964,83256
5.839999999999963,96653
5.859999999999963,101190
5.879999999999963,92789
5.899999999999962,99022
5.919999999999962,105778
5.939999999999961,97038
5.959999999999961,93043
5.9799999999999605,97900
5.99999999999996,93633
6.01999999999996,91415
6.039999999999959,91855
6.059999999999959,87882
6.079999999999958,85743
6.099999999999958,91449
6.1199999999999575,83749
6.139999999999957,81693
6.159999999999957,82888
6.179999999999956,90752
6.199999999999956,83235
6.219999999999955,75217
6.239999999999955,81379
6.2599999999999545,76224
6.279999999999954,74710
6.299999999999954,75844
6.319999999999953,74962
6.339999999999953,77946
6.359999999999952,70191
6.379999999999952,72529
6.3999999999999515,72970
6.419999999999951,77415
6.439999999999951,67786
6.45999999999995,76854
6.47999999999995,65514
6.499999999999949,69355
6.519999999999949,70028
6.5399999999999485,66472
6.559999999999948,65611
6.579999999999948,71464
6.599999999999947,64928
6.619999999999947,64042
6.639999999999946,70700
6.659999999999946,61906
6.6799999999999455,62752
6.699999999999945,63802
6.719999999999945,60670
6.739999999999944,63167
6.759999999999944,61602
6.779999999999943,65815
6.799999999999943,65723
6.8199999999999426,61012
6.839999999999942,63191
6.859999999999942,64668
6.879999999999941,62676
6.899999999999941,63064
6.91999999999994,58244
6.93999999999994,61303
6.95999999999994,59818
6.979999999999939,60984
6.999999999999939,59339
7.019999999999938,62947
7.039999999999938,60428
7.059999999999937,58492
7.079999999999937,57298
7.099999999999937,62039
